ID,Ref No , Methods,Scale,Crop,Country,Site(location),Region,latitude,longitude,Current Average Temperature (dC)_area_weighted,Current Average Temperature_point_coordinate (dC),Current Annual Precipitation (mm) _area_weighted ,Current Annual Precipitation  (mm) _point_coordinate,Future_Mid-point,Baseline_Mid-point,Time slice,Climate scenario,Scenario source,Local delta T ,Local delta T from 2005,Annual Precipitation change each study  (mm) , Annual Precipitation change  from 2005 (mm),Global delta T from pre-industrial period ,Global delta T from 2005,Projected yield (t/ha),Climate impacts (%),Climate impacts relative to 2005,Climate impacts per dC (%),Climate impacts per decade (%),CO2,CO2 ppm,Fertiliser,Irrigation,Cultivar,Soil organic matter management,Planting time,Tillage,Others,Adaptation,Adaptation type,Reference,doi,Publication year,"Note1 
(* = corrected by HW) ","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )",Seasonal Precipitation change (mm) each study (local baseperiod),Base precipitation (annual) (mm) (local base period),Annual Preciptation change (%) (relative to local base),Base precipitation (seasonal) (mm) (local base period)
8013,49,SCOPUS-NewSearch,Regional,Wheat,China,Shandong,Asia,35.7 ,117.0 ,15.0 ,15.0 ,809 ,809 ,2079,1995,EC,RCP8.5,CMIP5,,3.49 ,,104.3 ,4.01 ,3.22 ,,-0.80 ,-0.70 ,-0.20 ,-0.10 ,Yes,749.8 ,No,No,No,No,No,No,No,No,No,"Yin et al., 2015",10.5194/esd-6-45-2015,2015,,*,*,,,,,
8014,51,Aggarwal-DB,Global,Wheat,United States,NA,North America,37.1 ,-95.7 ,11.4 ,15.6 ,722 ,1204 ,2085,1975,EC,RCP8.5,CMIP5,,4.48 ,,26.2 ,5.11 ,4.32 ,,-87.51 ,-63.64 ,-14.19 ,-7.96 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8015,51,Aggarwal-DB,Global,Wheat,United States,NA,North America,37.1 ,-95.7 ,11.4 ,15.6 ,722 ,1204 ,2055,1975,MC,RCP8.5,CMIP5,,3.13 ,,30.0 ,3.29 ,2.50 ,,-60.44 ,-37.77 ,-12.06 ,-7.55 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8016,51,Aggarwal-DB,Global,Wheat,Kazakstan,NA,Asia,48.0 ,66.9 ,3.5 ,5.1 ,388 ,383 ,2085,1975,EC,RCP8.5,CMIP5,,4.91 ,,29.0 ,5.11 ,4.32 ,,-57.19 ,-41.59 ,-8.46 ,-5.20 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8017,51,Aggarwal-DB,Global,Wheat,Canada,NA,North America,56.1 ,-106.3 ,3.9 ,-0.1 ,477 ,555 ,2085,1975,EC,RCP8.5,CMIP5,,4.96 ,,53.7 ,5.11 ,4.32 ,,-56.30 ,-40.94 ,-8.26 ,-5.12 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8018,51,Aggarwal-DB,Global,Wheat,Ethiopia,NA,Africa,9.1 ,40.5 ,20.3 ,27.7 ,1051 ,644 ,2085,1975,EC,RCP8.5,CMIP5,,3.93 ,,111.0 ,5.11 ,4.32 ,,-52.16 ,-37.93 ,-9.64 ,-4.74 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8019,51,Aggarwal-DB,Global,Wheat,China,NA,Asia,35.9 ,104.2 ,13.4 ,7.1 ,769 ,390 ,2085,1975,EC,RCP8.5,CMIP5,,4.42 ,,107.9 ,5.11 ,4.32 ,,-42.55 ,-30.94 ,-7.00 ,-3.87 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8020,51,Aggarwal-DB,Global,Wheat,Kazakstan,NA,Asia,48.0 ,66.9 ,3.5 ,5.1 ,388 ,383 ,2055,1975,MC,RCP8.5,CMIP5,,3.16 ,,24.3 ,3.29 ,2.50 ,,-34.09 ,-21.31 ,-6.73 ,-4.26 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8021,51,Aggarwal-DB,Global,Wheat,United States,NA,North America,37.1 ,-95.7 ,11.4 ,15.6 ,722 ,1204 ,2025,1975,NF,RCP8.5,CMIP5,,1.39 ,,19.5 ,1.81 ,1.02 ,,-33.79 ,-13.52 ,-9.74 ,-6.76 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8022,51,Aggarwal-DB,Global,Wheat,Ethiopia,NA,Africa,9.1 ,40.5 ,20.3 ,27.7 ,1051 ,644 ,2055,1975,MC,RCP8.5,CMIP5,,3.72 ,,103.1 ,3.29 ,2.50 ,,-29.35 ,-18.34 ,-4.93 ,-3.67 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8023,51,Aggarwal-DB,Global,Wheat,Kazakstan,NA,Asia,48.0 ,66.9 ,3.5 ,5.1 ,388 ,383 ,2025,1975,NF,RCP8.5,CMIP5,,1.75 ,,24.5 ,1.81 ,1.02 ,,-24.64 ,-9.86 ,-5.62 ,-4.93 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8024,51,Aggarwal-DB,Global,Wheat,China,NA,Asia,35.9 ,104.2 ,13.4 ,7.1 ,769 ,390 ,2055,1975,MC,RCP8.5,CMIP5,,2.76 ,,70.3 ,3.29 ,2.50 ,,-24.42 ,-15.26 ,-5.53 ,-3.05 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8025,51,Aggarwal-DB,Global,Wheat,India,NA,Asia,20.6 ,79.0 ,26.1 ,28.4 ,855 ,1097 ,2085,1975,EC,RCP8.5,CMIP5,,4.11 ,,67.8 ,5.11 ,4.32 ,,-21.14 ,-15.38 ,-3.74 ,-1.92 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8026,51,Aggarwal-DB,Global,Wheat,Canada,NA,North America,56.1 ,-106.3 ,3.9 ,-0.1 ,477 ,555 ,2055,1975,MC,RCP8.5,CMIP5,,3.19 ,,31.9 ,3.29 ,2.50 ,,-20.07 ,-12.55 ,-3.93 ,-2.51 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8027,51,Aggarwal-DB,Global,Wheat,Brazil,NA,Central and South America,-14.2 ,-51.9 ,21.3 ,27.8 ,1767 ,1514 ,2085,1975,EC,RCP8.5,CMIP5,,3.81 ,,29.0 ,5.11 ,4.32 ,,-19.22 ,-13.98 ,-3.67 ,-1.75 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8028,51,Aggarwal-DB,Global,Wheat,Ethiopia,NA,Africa,9.1 ,40.5 ,20.3 ,27.7 ,1051 ,644 ,2025,1975,NF,RCP8.5,CMIP5,,0.93 ,,35.4 ,1.81 ,1.02 ,,-14.30 ,-5.72 ,-6.16 ,-2.86 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8029,51,Aggarwal-DB,Global,Wheat,China,NA,Asia,35.9 ,104.2 ,13.4 ,7.1 ,769 ,390 ,2025,1975,NF,RCP8.5,CMIP5,,1.27 ,,41.1 ,1.81 ,1.02 ,,-10.18 ,-4.07 ,-3.20 ,-2.04 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8030,51,Aggarwal-DB,Global,Wheat,India,NA,Asia,20.6 ,79.0 ,26.1 ,28.4 ,855 ,1097 ,2055,1975,MC,RCP8.5,CMIP5,,3.29 ,,64.5 ,3.29 ,2.50 ,,-9.78 ,-6.11 ,-1.86 ,-1.22 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8031,51,Aggarwal-DB,Global,Wheat,Canada,NA,North America,56.1 ,-106.3 ,3.9 ,-0.1 ,477 ,555 ,2025,1975,NF,RCP8.5,CMIP5,,1.58 ,,18.1 ,1.81 ,1.02 ,,-9.16 ,-3.67 ,-2.32 ,-1.83 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8032,51,Aggarwal-DB,Global,Wheat,Mexico,NA,Central and South America,23.6 ,-102.6 ,24.2 ,17.8 ,692 ,398 ,2085,1975,EC,RCP8.5,CMIP5,,3.75 ,,-31.1 ,5.11 ,4.32 ,,-7.44 ,-5.41 ,-1.44 ,-0.68 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8033,51,Aggarwal-DB,Global,Wheat,Brazil,NA,Central and South America,-14.2 ,-51.9 ,21.3 ,27.8 ,1767 ,1514 ,2055,1975,MC,RCP8.5,CMIP5,,3.12 ,,47.6 ,3.29 ,2.50 ,,-6.24 ,-3.90 ,-1.25 ,-0.78 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8034,51,Aggarwal-DB,Global,Wheat,Morocco,NA,Africa,31.8 ,-7.1 ,18.2 ,19.4 ,492 ,494 ,2085,1975,EC,RCP8.5,CMIP5,,4.06 ,,-61.9 ,5.11 ,4.32 ,,-4.35 ,-3.16 ,-0.78 ,-0.40 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8035,51,Aggarwal-DB,Global,Wheat,Russia,NA,Europe,61.5 ,105.3 ,5.4 ,-8.4 ,547 ,402 ,2085,1975,EC,RCP8.5,CMIP5,,4.86 ,,70.1 ,5.11 ,4.32 ,,-3.64 ,-2.65 ,-0.54 ,-0.33 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8036,51,Aggarwal-DB,Global,Wheat,Brazil,NA,Central and South America,-14.2 ,-51.9 ,21.3 ,27.8 ,1767 ,1514 ,2025,1975,NF,RCP8.5,CMIP5,,0.86 ,,4.9 ,1.81 ,1.02 ,,-3.40 ,-1.36 ,-1.57 ,-0.68 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8037,51,Aggarwal-DB,Global,Wheat,India,NA,Asia,20.6 ,79.0 ,26.1 ,28.4 ,855 ,1097 ,2025,1975,NF,RCP8.5,CMIP5,,0.89 ,,43.8 ,1.81 ,1.02 ,,-3.22 ,-1.29 ,-1.45 ,-0.64 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8038,51,Aggarwal-DB,Global,Wheat,Russia,NA,Europe,61.5 ,105.3 ,5.4 ,-8.4 ,547 ,402 ,2055,1975,MC,RCP8.5,CMIP5,,3.47 ,,53.4 ,3.29 ,2.50 ,,-2.71 ,-1.69 ,-0.49 ,-0.34 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8039,51,Aggarwal-DB,Global,Wheat,Saudi Arabia,NA,Asia,23.9 ,45.1 ,26.2 ,25.9 ,78 ,84 ,2085,1975,EC,RCP8.5,CMIP5,,4.39 ,,-16.8 ,5.11 ,4.32 ,,-1.22 ,-0.89 ,-0.20 ,-0.11 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8040,51,Aggarwal-DB,Global,Wheat,Mexico,NA,Central and South America,23.6 ,-102.6 ,24.2 ,17.8 ,692 ,398 ,2055,1975,MC,RCP8.5,CMIP5,,2.78 ,,5.2 ,3.29 ,2.50 ,,-0.35 ,-0.22 ,-0.08 ,-0.04 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8041,51,Aggarwal-DB,Global,Wheat,Russia,NA,Europe,61.5 ,105.3 ,5.4 ,-8.4 ,547 ,402 ,2025,1975,NF,RCP8.5,CMIP5,,1.78 ,,22.4 ,1.81 ,1.02 ,,0.00 ,0.00 ,0.00 ,0.00 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8042,51,Aggarwal-DB,Global,Wheat,Mexico,NA,Central and South America,23.6 ,-102.6 ,24.2 ,17.8 ,692 ,398 ,2025,1975,NF,RCP8.5,CMIP5,,1.00 ,,4.6 ,1.81 ,1.02 ,,0.25 ,0.10 ,0.10 ,0.05 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8043,51,Aggarwal-DB,Global,Wheat,Saudi Arabia,NA,Asia,23.9 ,45.1 ,26.2 ,25.9 ,78 ,84 ,2055,1975,MC,RCP8.5,CMIP5,,3.56 ,,-9.1 ,3.29 ,2.50 ,,2.66 ,1.66 ,0.47 ,0.33 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8044,51,Aggarwal-DB,Global,Wheat,Saudi Arabia,NA,Asia,23.9 ,45.1 ,26.2 ,25.9 ,78 ,84 ,2025,1975,NF,RCP8.5,CMIP5,,1.23 ,,10.8 ,1.81 ,1.02 ,,3.36 ,1.35 ,1.09 ,0.67 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8045,51,Aggarwal-DB,Global,Wheat,Pakistan,NA,Asia,30.4 ,69.3 ,25.3 ,19.7 ,371 ,285 ,2025,1975,NF,RCP8.5,CMIP5,,1.04 ,,8.6 ,1.81 ,1.02 ,,3.53 ,1.41 ,1.36 ,0.71 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8046,51,Aggarwal-DB,Global,Wheat,Morocco,NA,Africa,31.8 ,-7.1 ,18.2 ,19.4 ,492 ,494 ,2055,1975,MC,RCP8.5,CMIP5,,2.92 ,,-22.6 ,3.29 ,2.50 ,,3.86 ,2.41 ,0.83 ,0.48 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8047,51,Aggarwal-DB,Global,Wheat,Uzbekistan,NA,Asia,41.4 ,64.6 ,14.2 ,15.4 ,302 ,149 ,2025,1975,NF,RCP8.5,CMIP5,,1.19 ,,-3.1 ,1.81 ,1.02 ,,4.09 ,1.64 ,1.37 ,0.82 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8048,51,Aggarwal-DB,Global,Wheat,Pakistan,NA,Asia,30.4 ,69.3 ,25.3 ,19.7 ,371 ,285 ,2085,1975,EC,RCP8.5,CMIP5,,4.43 ,,-4.2 ,5.11 ,4.32 ,,6.06 ,4.41 ,1.00 ,0.55 ,Yes,801.0 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8049,51,Aggarwal-DB,Global,Wheat,Pakistan,NA,Asia,30.4 ,69.3 ,25.3 ,19.7 ,371 ,285 ,2055,1975,MC,RCP8.5,CMIP5,,2.85 ,,4.5 ,3.29 ,2.50 ,,7.16 ,4.48 ,1.57 ,0.90 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8050,51,Aggarwal-DB,Global,Wheat,United Kingdom,NA,Europe,55.4 ,-3.4 ,9.9 ,8.0 ,770 ,1429 ,2025,1975,NF,RCP8.5,CMIP5,,0.96 ,,25.3 ,1.81 ,1.02 ,,7.76 ,3.10 ,3.23 ,1.55 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8051,51,Aggarwal-DB,Global,Wheat,Czech Republic,NA,Europe,49.8 ,15.5 ,8.7 ,8.6 ,784 ,805 ,2025,1975,NF,RCP8.5,CMIP5,,1.27 ,,12.1 ,1.81 ,1.02 ,,8.56 ,3.42 ,2.69 ,1.71 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8052,51,Aggarwal-DB,Global,Wheat,Iran,NA,Asia,32.4 ,53.7 ,14.8 ,17.2 ,369 ,88 ,2025,1975,NF,RCP8.5,CMIP5,,1.20 ,,-6.1 ,1.81 ,1.02 ,,9.25 ,3.70 ,3.09 ,1.85 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8053,51,Aggarwal-DB,Global,Wheat,Morocco,NA,Africa,31.8 ,-7.1 ,18.2 ,19.4 ,492 ,494 ,2025,1975,NF,RCP8.5,CMIP5,,0.97 ,,-24.0 ,1.81 ,1.02 ,,9.26 ,3.70 ,3.81 ,1.85 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8054,51,Aggarwal-DB,Global,Wheat,Germany,NA,Europe,51.2 ,10.5 ,9.5 ,8.7 ,831 ,839 ,2025,1975,NF,RCP8.5,CMIP5,,1.09 ,,31.5 ,1.81 ,1.02 ,,10.15 ,4.06 ,3.72 ,2.03 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8055,51,Aggarwal-DB,Global,Wheat,Denmark,NA,Europe,56.3 ,9.5 ,8.6 ,8.1 ,900 ,852 ,2025,1975,NF,RCP8.5,CMIP5,,1.15 ,,60.9 ,1.81 ,1.02 ,,10.51 ,4.20 ,3.65 ,2.10 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8056,51,Aggarwal-DB,Global,Wheat,Spain,NA,Europe,40.5 ,-3.7 ,14.2 ,15.4 ,570 ,421 ,2025,1975,NF,RCP8.5,CMIP5,,1.08 ,,-34.8 ,1.81 ,1.02 ,,11.09 ,4.44 ,4.12 ,2.22 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8057,51,Aggarwal-DB,Global,Wheat,Turkey,NA,Europe,39.0 ,35.2 ,12.3 ,10.6 ,547 ,372 ,2025,1975,NF,RCP8.5,CMIP5,,1.25 ,,-6.9 ,1.81 ,1.02 ,,11.88 ,4.75 ,3.79 ,2.38 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8058,51,Aggarwal-DB,Global,Wheat,France,NA,Europe,46.2 ,2.2 ,11.9 ,11.1 ,873 ,986 ,2025,1975,NF,RCP8.5,CMIP5,,1.03 ,,1.1 ,1.81 ,1.02 ,,11.93 ,4.77 ,4.62 ,2.39 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8059,51,Aggarwal-DB,Global,Wheat,Syria,NA,Asia,34.8 ,39.0 ,18.8 ,19.1 ,392 ,122 ,2025,1975,NF,RCP8.5,CMIP5,,1.20 ,,-15.0 ,1.81 ,1.02 ,,12.28 ,4.91 ,4.09 ,2.46 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8060,51,Aggarwal-DB,Global,Wheat,Australia,NA,Australasia,-25.3 ,133.8 ,18.1 ,21.6 ,421 ,232 ,2025,1975,NF,RCP8.5,CMIP5,,0.75 ,,-10.9 ,1.81 ,1.02 ,,12.96 ,5.18 ,6.87 ,2.59 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8061,51,Aggarwal-DB,Global,Wheat,Afghanistan,NA,Asia,33.9 ,67.7 ,11.8 ,4.2 ,320 ,478 ,2025,1975,NF,RCP8.5,CMIP5,,1.15 ,,-3.3 ,1.81 ,1.02 ,,13.28 ,5.31 ,4.63 ,2.66 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8062,51,Aggarwal-DB,Global,Wheat,Algeria,NA,Africa,28.0 ,1.7 ,16.5 ,23.3 ,486 ,16 ,2025,1975,NF,RCP8.5,CMIP5,,1.04 ,,-2.2 ,1.81 ,1.02 ,,13.32 ,5.33 ,5.14 ,2.66 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8063,51,Aggarwal-DB,Global,Wheat,Romania,NA,Europe,45.9 ,25.0 ,11.3 ,7.8 ,713 ,981 ,2025,1975,NF,RCP8.5,CMIP5,,1.35 ,,-0.7 ,1.81 ,1.02 ,,13.32 ,5.33 ,3.94 ,2.66 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8064,51,Aggarwal-DB,Global,Wheat,Egypt,NA,Africa,26.8 ,30.8 ,22.3 ,23.1 ,35 ,2 ,2025,1975,NF,RCP8.5,CMIP5,,1.02 ,,5.5 ,1.81 ,1.02 ,,13.54 ,5.41 ,5.29 ,2.71 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8065,51,Aggarwal-DB,Global,Wheat,Greece,NA,Europe,39.1 ,21.8 ,13.0 ,13.6 ,655 ,736 ,2025,1975,NF,RCP8.5,CMIP5,,1.22 ,,-26.4 ,1.81 ,1.02 ,,13.95 ,5.58 ,4.57 ,2.79 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8066,51,Aggarwal-DB,Global,Wheat,Sweden,NA,Europe,60.1 ,18.6 ,6.8 ,5.8 ,720 ,563 ,2025,1975,NF,RCP8.5,CMIP5,,1.44 ,,41.7 ,1.81 ,1.02 ,,14.42 ,5.77 ,4.00 ,2.88 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8067,51,Aggarwal-DB,Global,Wheat,Denmark,NA,Europe,56.3 ,9.5 ,8.6 ,8.1 ,900 ,852 ,2055,1975,MC,RCP8.5,CMIP5,,2.77 ,,75.6 ,3.29 ,2.50 ,,14.63 ,9.15 ,3.30 ,1.83 ,Yes,570.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8068,51,Aggarwal-DB,Global,Wheat,Italy,NA,Europe,41.9 ,12.6 ,14.0 ,16.0 ,825 ,982 ,2025,1975,NF,RCP8.5,CMIP5,,1.13 ,,-35.6 ,1.81 ,1.02 ,,15.02 ,6.01 ,5.30 ,3.00 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8069,51,Aggarwal-DB,Global,Wheat,Poland,NA,Europe,51.9 ,19.1 ,8.7 ,8.8 ,761 ,705 ,2025,1975,NF,RCP8.5,CMIP5,,1.30 ,,35.7 ,1.81 ,1.02 ,,15.54 ,6.22 ,4.78 ,3.11 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8070,51,Aggarwal-DB,Global,Wheat,Argentina,NA,Central and South America,-38.4 ,-63.6 ,17.3 ,16.0 ,936 ,505 ,2025,1975,NF,RCP8.5,CMIP5,,0.71 ,,-5.3 ,1.81 ,1.02 ,,15.88 ,6.35 ,8.90 ,3.18 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8071,51,Aggarwal-DB,Global,Wheat,Ukraine,NA,Europe,48.4 ,31.2 ,9.4 ,9.0 ,644 ,584 ,2025,1975,NF,RCP8.5,CMIP5,,1.44 ,,17.6 ,1.81 ,1.02 ,,16.36 ,6.54 ,4.54 ,3.27 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
8072,51,Aggarwal-DB,Global,Wheat,Hungary,NA,Europe,47.2 ,19.5 ,11.2 ,11.1 ,658 ,611 ,2025,1975,NF,RCP8.5,CMIP5,,1.38 ,,-11.8 ,1.81 ,1.02 ,,16.55 ,6.62 ,4.81 ,3.31 ,Yes,431.5 ,Yes,No,No,No,No,No,No,Yes,Fertiliser,"Rosenzweig et al., 2014",10.1073/pnas.1222463110,2014,,*,*,,,,,
